Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
7	96A	ISCHILIN	OLIVARES SAN NICOLAS	464	544	574	571	579	564	OLIVARES SAN NICOLAS
21	330A	SANTA MARIA	JOSE DE LA QUINTANA	513	470	454	514	578	634	JOSE DE LA QUINTANA
6	82	GRAL SAN MARTIN	PALESTINA	507	539	528	539	568	569	PALESTINA
2	15A	CALAMUCHITA	VILLA AMANCAY	359	420	416	505	567	648	VILLA AMANCAY
13	194	RIO CUARTO	WASHINGTON	529	524	527	551	563	576	WASHINGTON
23	337A	TERCERO ARRIBA	CNIA ALMADA	556	543	556	565	562	580	CNIA ALMADA
13	193	RIO CUARTO	TOSQUITA	483	503	520	526	552	562	TOSQUITA
20	306	SAN JUSTO	PROSPERIDAD	481	503	524	553	548	547	PROSPERIDAD
22	332	SOBREMONTE	POZO NUEVO	593	542	537	561	547	560	POZO NUEVO
17	255	ROQUE SAENZ PEÑA	ROSALES	539	511	511	540	545	546	ROSALES
18	263D	SAN ALBERTO	LAS CALLES	392	429	466	506	535	564	LAS CALLES
26	390	UNION	MONTE LEÑA	564	526	517	514	530	567	MONTE LEÑA
4	48	CRUZ DEL EJE	LA HIGUERA	571	535	521	579	509	500	LA HIGUERA
14	200	RIO PRIMERO	DIEGO DE ROJAS	490	509	503	503	508	513	DIEGO DE ROJAS
19	274A	SAN JAVIER	LA POBLACION	315	336	355	459	503	504	LA POBLACION
7	91	ISCHILIN	AVELLANEDA	499	458	435	485	501	498	AVELLANEDA
11	145	POCHO	POCHO	551	510	508	499	488	562	POCHO
21	327	SANTA MARIA	MONTE RALO	524	485	469	488	481	480	MONTE RALO
12	156B	PUNILLA	CUESTA BLANCA	239	306	348	425	477	506	CUESTA BLANCA
13	192	RIO CUARTO	SUCO	452	436	460	477	473	464	SUCO
21	316D	SANTA MARIA	LA SERRANITA	269	307	344	427	471	479	LA SERRANITA
